,ML Theory,,,,ML Lab,,,,Project Phase 1,,
S. No.,Internal,External,Total,Grde,Internal,External,Total,Grde,External,Total,Grde
1,37,36,73,F,25.5,28,53.5,C,36,36,B+
2,61,75,136,B+,30.5,38,68.5,B+,41,41,A
3,50,48,98,C,27,32,59,B,37,37,B+
4,57,48,105,C,33,38,71,B+,37,37,B+
5,92,82,174,A+,41,40,81,A,40,40,A
6,48,55,103,C,23.5,29,52.5,C,25,25,C
7,48,21,69,F,25.5,29,54.5,C,35,35,B+
8,47,25,72,F,30.5,32,62.5,B,40,40,A
9,45,51,96,C,22.5,32,54.5,C,28,28,B
10,52,45,97,C,25.5,33,58.5,B,33,33,B+
11,79,62,141,B+,43.5,38,81.5,A,39,39,A
12,50,37,87,P,23.5,30,53.5,C,33,33,B+
13,61,37,98,C,28.5,33,61.5,B,36,36,B+
14,49,22,71,F,23,33,56,B,22,22,P
15,63,60,123,B,23.5,37,60.5,B,29,29,B
16,63,73,136,B+,29,35,64,B,39,39,A
17,26,28,54,F,25.5,30,55.5,B,23,23,C
18,35,35,70,F,23.5,30,53.5,C,28,28,B
19,43,42,85,P,23.5,32,55.5,B,24,24,C
20,42,23,65,F,29,31,60,B,26,26,C
21,68,65,133,B+,34.5,37,71.5,B+,40,40,A
22,63,42,105,C,30,34,64,B,30,30,B
23,65,41,106,C,29,40,69,B+,33,33,B+
24,58,32,90,C,32,30,62,B,34,34,B+
25,84,79,163,A,33,37,70,B+,38,38,A
26,47,10,57,F,23,31,54,C,32,32,B
27,31,1,32,F,24,32,56,B,20,20,P
28,56,48,104,C,32,30,62,B,39,39,A
29,37,8,45,F,23.5,34,57.5,B,24,24,C
30,59,47,106,C,31,38,69,B+,33,33,B+
31,52,15,67,F,33.5,30,63.5,B,37,37,B+
32,28,10,38,F,23,31,54,C,27,27,C
33,59,46,105,C,23.5,31,54.5,C,34,34,B+
34,44,13,57,F,46.5,35,81.5,A,41,41,A
35,75,81,156,A,47.5,38,85.5,A+,42,42,A
36,53,26,79,F,23.5,35,58.5,B,29,29,B
37,64,65,129,B,47,31,78,A,34,34,B+
38,33,43,76,F,24,35,59,B,21,21,P
39,87,86,173,A+,48,42,90,A+,42,42,A
40,45,29,74,F,23.5,30,53.5,C,24,24,C
41,61,40,101,C,38.5,30,68.5,B+,34,34,B+
42,80,67,147,B+,47.5,41,88.5,A+,42,42,A
43,81,92,173,A+,38.5,38,76.5,A,32,32,B
44,47,17,64,F,33,34,67,B+,33,33,B+
45,55,12,67,F,32.5,40,72.5,B+,40,40,A
46,47,37,84,P,24,30,54,C,23,23,C
47,65,16,81,F,34,32,66,B+,35,35,B+
48,70,76,146,B+,34.5,40,74.5,B+,37,37,B+
49,38,4,42,F,23,35,58,B,21,21,P
50,69,62,131,B+,39,37,76,A,40,40,A
51,38,4,42,F,29.5,31,60.5,B,31,31,B
52,37,6,43,F,29.5,33,62.5,B,31,31,B
53,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB
54,34,8,42,F,23,30,53,C,30,30,B
55,64,45,109,C,33,35,68,B+,41,41,A
56,55,54,109,C,44.5,40,84.5,A,40,40,A
57,57,33,90,C,29.5,34,63.5,B,32,32,B
58,34,AB,34,AB,23.5,29,52.5,C,35,35,B+
59,46,32,78,F,22.5,32,54.5,C,35,35,B+
60,51,31,82,P,29,30,59,B,28,28,B
61,41,39,80,P,23,34,57,B,29,29,B
,,,,,,,,,,,
